Week Start Date,Weekly Demand Quantity,,
07-Jul-18,3198,,
14-Jul-18,12181,,
21-Jul-18,13494,,
28-Jul-18,17963,,
04-Aug-18,11009,,
11-Aug-18,12693,,
18-Aug-18,10764,,
25-Aug-18,6456,,
01-Sep-18,7657,,07-Jul-18
08-Sep-18,13008,,
15-Sep-18,10511,,
22-Sep-18,6158,,
29-Sep-18,12199,,
06-Oct-18,10655,,
13-Oct-18,10213,,
20-Oct-18,11566,,
27-Oct-18,5879,,
03-Nov-18,3133,,
10-Nov-18,9392,,
17-Nov-18,6451,,
24-Nov-18,5577,,
01-Dec-18,6889,,
08-Dec-18,6932,,
15-Dec-18,3807,,
22-Dec-18,2677,,
29-Dec-18,9786,,
05-Jan-19,4203,,
12-Jan-19,4975,,
19-Jan-19,5649,,
26-Jan-19,5217,,
02-Feb-19,8245,,
09-Feb-19,10841,,
16-Feb-19,12801,,
23-Feb-19,2030,,
02-Mar-19,5059,,
09-Mar-19,9151,,
16-Mar-19,14121,,
23-Mar-19,6082,,
30-Mar-19,10026,,
06-Apr-19,7880,,
13-Apr-19,12605,,
20-Apr-19,9075,,
27-Apr-19,8750,,
04-May-19,3714,,
11-May-19,9314,,
18-May-19,13705,,
25-May-19,7017,,
01-Jun-19,10002,,
08-Jun-19,10189,,
15-Jun-19,7472,,
22-Jun-19,10708,,
29-Jun-19,3947,,
06-Jul-19,3507,,
13-Jul-19,9766,,
20-Jul-19,9077,,
27-Jul-19,10396,,
03-Aug-19,5722,,
10-Aug-19,11984,,
17-Aug-19,10427,,
24-Aug-19,10312,,
31-Aug-19,7081,,
07-Sep-19,16573,,
14-Sep-19,8931,,
21-Sep-19,10281,,
28-Sep-19,14784,,
05-Oct-19,7982,,
12-Oct-19,5666,,
19-Oct-19,10039,,
26-Oct-19,16864,,
02-Nov-19,10102,,
09-Nov-19,4309,,
16-Nov-19,9729,,
23-Nov-19,7544,,
30-Nov-19,7275,,
07-Dec-19,1800,,
14-Dec-19,4774,,
21-Dec-19,5710,,
28-Dec-19,15541,,
04-Jan-20,2311,,
11-Jan-20,6020,,
18-Jan-20,6360,,
25-Jan-20,8758,,
01-Feb-20,10880,,
08-Feb-20,8146,,
15-Feb-20,1937,,
22-Feb-20,12307,,
29-Feb-20,5082,,
07-Mar-20,8071,,
14-Mar-20,11782,,
21-Mar-20,7059,,
28-Mar-20,8470,,
04-Apr-20,9136,,
11-Apr-20,10398,,
18-Apr-20,10550,,
25-Apr-20,10217,,
02-May-20,7516,,
09-May-20,9892,,
16-May-20,9341,,
23-May-20,10971,,
30-May-20,11087,,
06-Jun-20,10183,,
13-Jun-20,11310,,
20-Jun-20,12028,,
27-Jun-20,5204,,
04-Jul-20,10043,,
